,cpi_yearly,Date,Unemployment Rate
0,9.487854367775682,1992-12-31,2.4
1,9.487854367775729,1993-01-31,2.2
2,9.379343114685689,1993-02-28,2.2
3,9.054453976721287,1993-03-31,2.1
4,8.622555149090672,1993-04-30,1.9
5,8.622555149090715,1993-05-31,1.8
6,8.730422631860435,1993-06-30,1.8
7,8.730422631860414,1993-07-31,1.9
8,8.622233156604864,1993-08-31,1.9
9,8.406498830573872,1993-09-30,1.9
10,8.62180468723832,1993-10-31,2.0
11,8.621804687238388,1993-11-30,2.1
12,8.837752609081795,1993-12-31,2.1
13,8.297882804473211,1994-01-31,2.0
14,8.083006052877085,1994-02-28,1.8
15,7.868342684350971,1994-03-31,1.9
16,8.19001766253491,1994-04-30,1.7
17,8.190017662534931,1994-05-31,1.7
18,8.19001766253491,1994-06-30,1.5
19,8.29756241170243,1994-07-31,1.7
20,8.729026803780936,1994-08-31,1.9
21,9.053591062896693,1994-09-30,2.3
22,9.053591062896738,1994-10-31,2.2
23,8.945402976524797,1994-11-30,2.2
24,9.053483733445923,1994-12-31,2.0
25,9.48839294075774,1995-01-31,2.2
26,9.597228321414564,1995-02-28,2.4
27,9.706280289893643,1995-03-31,2.5
28,9.597552559180178,1995-04-30,2.6
29,9.597552559180178,1995-05-31,2.5
30,9.488824828466669,1995-06-30,2.9
31,9.380097097753204,1995-07-31,3.3
32,9.271585096664126,1995-08-31,3.6
33,9.163180746369836,1995-09-30,3.7
34,9.054991270902658,1995-10-31,3.6
35,8.838397445141144,1995-11-30,3.7
36,8.191191910284058,1995-12-31,3.7
37,7.546557201781878,1996-01-31,3.4
38,7.119361343979369,1996-02-29,3.1
39,7.225841822452517,1996-03-31,2.9
40,7.332216665530322,1996-04-30,2.9
41,7.22573629185419,1996-05-31,3.0
42,7.012775544501926,1996-06-30,2.9
43,6.693651959379121,1996-07-31,2.9
44,6.269844007206826,1996-08-31,2.7
45,5.847719502709503,1996-09-30,2.6
46,5.532696527999015,1996-10-31,2.5
47,5.637704186235859,1996-11-30,2.6
48,5.9536694031438575,1996-12-31,2.5
